Codice_azienda;N_campionamento;Anno;ID_foglia;Area_(cm3);Lunghezza_(cm);Lunghezza_(IOC);Larghezza_(cm);Larghezza_(IOC);Forma_(L/W);Shape (IOC);Circolarità;Rotondità;Perimetro_(cm);Aspect_ratio;Irregolarità_contorno
AV_05;R2;2020;P1R8;4;5,41;medium;1,19;medium;4,55;medium;0,17;2,54;11,27;4,29;0,53
AV_05;R2;2020;P1R9;3,3;4,52;short;1,12;medium;4,04;medium;0,2;2,38;9,91;3,8;2,62
AV_05;R2;2020;P1R10;4,03;5,13;medium;1,16;medium;4,42;medium;0,19;2,29;10,74;4,22;0,28
AV_05;R2;2020;P1R11;3,32;4,33;short;1,18;medium;3,67;elliptic;0,22;2,28;9,72;3,31;2,16
AV_05;R2;2020;P1R12;9,72;7,29;long;2,18;broad;3,34;elliptic;0,23;2,01;15,66;3,13;1,34
AV_05;R2;2020;P1R13;5,1;5,59;medium;1,39;medium;4,02;medium;0,21;2,35;12,25;3,67;2,45
AV_06;R2;2020;P1R1;5,62;7,49;long;1,15;medium;6,51;lanceolate;0,13;3,42;15,5;6,08;0,58
AV_06;R2;2020;P1R2;2,2;3,87;short;0,88;narrow;4,4;medium;0,19;2,45;8,22;4,17;1,09
AV_06;R2;2020;P1R3;4,8;5,61;medium;1,27;medium;4,42;medium;0,19;2,37;11,93;4,06;0,75
AV_06;R2;2020;P1R4;2,25;4,48;short;0,84;narrow;5,33;medium;0,14;3,15;9,4;5,38;0,74
AV_06;R2;2020;P1R5;5,59;7,06;long;1,21;medium;5,83;medium;0,14;3,05;14,6;5,33;0,55
AV_06;R2;2020;P1R6;4,78;6,43;medium;1,18;medium;5,45;medium;0,15;3;13,38;4,99;0,67
AV_06;R2;2020;P1R7;3,94;6,39;medium;1,12;medium;5,71;medium;0,12;3,78;13,66;5,68;2,2
AV_06;R2;2020;P1R8;3,59;5,94;medium;0,98;narrow;6,06;lanceolate;0,13;3,36;12,29;5,64;0,73
AV_06;R2;2020;P1R9;4,03;5,11;medium;1,27;medium;4,02;medium;0,2;2,32;10,81;3,66;0,93
AV_06;R2;2020;P1R10;3,64;5,36;medium;1,02;medium;5,25;medium;0,16;2,69;11,08;5;0,18
BN_01;R2;2020;P1R1;3,01;4,84;short;0,94;narrow;5,15;medium;0,16;2,71;10,1;4,74;0,79
BN_01;R2;2020;P1R3;4,19;5,69;medium;1,11;medium;5,13;medium;0,16;2,7;11,91;4,98;0,76
BN_01;R2;2020;P1R4;5,33;5,63;medium;1,49;medium;3,78;elliptic;0,21;2,14;11,95;3,49;1,09
BN_01;R2;2020;P1R5;3,88;5,37;medium;1,17;medium;4,59;medium;0,17;2,59;11,21;4,2;0,71
BN_01;R2;2020;P1R6;2,05;4,52;short;0,67;narrow;6,75;lanceolate;0,13;3,4;9,32;6,37;0,86
